image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
scgan_0024453,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024454,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024455,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024456,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024457,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024458,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024459,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024460,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024461,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024462,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024463,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024464,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024465,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024466,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024467,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024468,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024469,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024470,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024471,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024472,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024473,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024474,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024475,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scgan_0024476,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024477,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024478,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024479,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024480,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024481,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024482,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024483,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024484,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024485,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024486,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024487,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024488,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024489,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024490,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024491,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024492,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024493,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024494,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024495,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024496,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024497,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024498,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024499,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024500,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024501,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024502,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024503,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024504,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024505,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024506,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024507,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024508,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024509,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024510,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024511,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024512,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024513,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024514,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024515,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024516,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024517,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024518,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024519,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024520,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024521,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024522,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024523,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024524,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024525,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024526,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024527,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024528,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024529,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024530,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024531,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024532,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024533,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024534,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024535,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024536,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024537,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024538,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024539,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024540,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024541,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024542,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024543,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024544,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024545,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024546,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024547,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024548,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024549,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024550,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024551,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024552,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024553,0.0,0.0,0.0,0.0,0.0,1.0,0.0
scgan_0024554,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024556,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024557,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024558,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024559,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024560,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024561,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024562,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024563,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024564,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024565,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024566,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024567,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024568,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024569,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024570,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024571,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024572,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024573,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024574,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024575,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024576,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024577,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024578,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024579,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024580,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024581,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024582,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024583,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024584,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024585,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024586,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024587,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024588,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024589,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024590,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024591,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024592,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024593,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024594,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024595,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024596,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024597,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024598,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024599,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024600,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024601,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024602,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024603,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024604,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024605,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024606,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024607,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024608,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024609,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024610,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024611,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024612,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024613,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024614,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024615,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024616,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024617,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024618,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024619,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024620,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024621,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024622,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024623,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024624,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024625,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024626,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024627,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024628,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024629,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024630,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024631,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024632,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024633,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024634,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024635,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024636,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024637,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024638,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024639,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024640,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024641,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024642,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024643,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024644,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024645,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024646,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024647,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024648,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024649,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024650,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024651,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024652,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024653,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024654,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024655,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024656,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024657,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024658,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024659,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024660,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024661,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024662,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scgan_0024663,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024664,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024665,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024667,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024668,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024669,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scgan_0024670,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024671,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024672,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024673,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024674,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024675,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024676,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024677,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024678,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024679,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024680,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024681,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024682,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024683,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024684,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024685,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024686,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024687,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024688,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024689,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024690,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024691,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024692,0.0,1.0,0.0,0.0,0.0,0.0,0.0
